,Cycle,ambient_temperature,Discharge_Max_Temperature,Discharge_Max_Time,Charge_Max_Temperature,Charge_Max_Time,Discharge_Voltage_Drop,Discharge_Current,Capacity,Charging_Max_Threshold_Voltage_time,Discharging_Min_Threshold_Voltage_time,Charge_Time,Discharge_TIme,Cycle_Prediction
1,1,43,58.72626886,1572.359,57.80036586,9888.75,2,4,1.697507332,3577.765,1572.359,"2009 04 07,16:58:34","2009 04 07,16:31:01",39
2,2,43,59.76796387,1723.281,58.12046247,9764.735,2,4,1.844701207,3546.672,1703.531,"2009 04 07,20:14:29","2009 04 07,19:44:26",38
3,3,43,59.84434732,1705.906,58.15283764,9742.438,2,4,1.825437667,3495.703,1686.219,"2009 04 07,23:28:03","2009 04 07,22:58:18",37
4,4,43,59.91994728,1697.688,58.19736908,9674.14,2,4,1.81575043,3477.828,1677.891,"2009 04 08,02:41:07","2009 04 08,02:11:30",36
5,5,43,59.89475355,1686.094,46.41092449,9801.422,2,4,1.813299334,3453.219,1666.172,"2009 04 08,06:28:36","2009 04 08,05:23:26",35
6,6,43,59.58813236,1678.563,58.65885129,9517.672,2,4,1.815164762,3529.094,1678.563,"2009 04 09,10:54:17","2009 04 09,10:24:58",34
7,7,43,59.81336613,1677.469,58.28500118,9500.375,2,4,1.814331796,3460.625,1667.406,"2009 04 09,14:03:18","2009 04 09,13:33:59",33
8,8,43,59.75433533,1666.093,58.33254168,9474.375,2,4,1.801343602,3431.563,1655.921,"2009 04 09,17:11:50","2009 04 09,16:42:43",32
9,9,43,59.77372426,1654.328,58.3542999,9446.969,2,4,1.78815588,3394.313,1644.25,"2009 04 09,20:19:45","2009 04 09,19:50:50",31
10,10,43,59.80010735,1643.812,46.44425705,9648.516,2,4,1.77607146,3363.703,1633.703,"2009 04 10,00:02:46","2009 04 09,22:58:17",30
11,11,43,59.92418746,1652.266,58.96970505,9315.61,2,4,1.785280745,3437.031,1652.266,"2009 04 10,13:17:58","2009 04 10,12:49:04",29
12,12,43,60.1209049,1648.672,58.641892,9290.016,2,4,1.76981164,3392.329,1638.297,"2009 04 10,16:23:10","2009 04 10,15:54:20",28
13,13,43,60.15908337,1636.969,58.65001377,9274.812,2,4,1.756523168,3359,1626.547,"2009 04 10,19:27:45","2009 04 10,18:59:06",27
14,14,43,60.03306236,1625.187,58.56280851,9327.078,2,4,1.754341328,3330.422,1614.765,"2009 04 10,22:31:53","2009 04 10,22:03:26",26
15,15,43,60.15567528,1622.016,46.45442353,9473.437,2,4,1.739287551,3311.468,1611.563,"2009 04 11,02:12:36","2009 04 11,01:08:27",25
16,16,43,59.7082633,1638.422,58.81050117,9249.172,2,4,1.779784511,3438.516,1638.422,"2009 04 13,10:20:08","2009 04 13,09:51:27",24
17,17,43,59.82607254,1646.438,57.92583662,9276.188,2,4,1.765708851,3348.547,1625.5,"2009 04 13,13:24:13","2009 04 13,12:55:24",23
18,18,43,59.97193555,1634.765,58.08369767,9297.734,2,4,1.752394141,3322.156,1613.609,"2009 04 13,16:28:34","2009 04 13,15:59:56",22
19,19,43,59.90509097,1622.016,58.01012534,9333.438,2,4,1.738019123,3287.938,1600.875,"2009 04 13,19:33:04","2009 04 13,19:04:39",21
20,20,43,60.00388451,1616.25,46.45888744,9377.641,2,4,1.731221444,3259.266,1594.828,"2009 04 13,23:13:50","2009 04 13,22:09:45",20
21,21,43,60.25771781,1622.218,58.83074526,9200.078,2,4,1.737912899,3317.562,1611.531,"2009 04 14,11:01:49","2009 04 14,10:33:23",19
22,22,43,59.90492727,1619.656,57.66544153,9216.281,2,4,1.722427068,3256.625,1587.281,"2009 04 14,14:04:40","2009 04 14,13:36:17",18
23,23,43,60.33243416,1605.484,58.45597433,9244.75,2,4,1.718421377,3245.594,1583.703,"2009 04 14,17:07:34","2009 04 14,16:39:25",17
24,24,43,59.98669671,1600.75,57.75478581,9233.563,2,4,1.701022093,3196.031,1568.328,"2009 04 14,20:10:51","2009 04 14,19:42:47",16
25,25,43,59.99528714,1595,46.45673307,9306.797,2,4,1.69369874,3174.734,1562.25,"2009 04 14,23:49:38","2009 04 14,22:45:53",15
26,26,43,59.98821697,1612.422,57.86934107,9228.125,2,4,1.713072721,3241.219,1579.656,"2009 04 15,15:26:47","2009 04 15,14:58:30",14
27,27,43,60.01985636,1598.969,57.85002723,9122.188,2,4,1.697697269,3181.734,1565.922,"2009 04 15,18:29:47","2009 04 15,18:01:43",13
28,28,43,60.26410092,1592.187,58.07317665,9176.563,2,4,1.689931403,3174.297,1559.125,"2009 04 15,21:30:55","2009 04 15,21:02:58",12
29,29,43,59.92046248,1577.484,57.77773422,9170.625,2,4,1.685023551,3130.641,1544.25,"2009 04 16,00:32:43","2009 04 16,00:05:00",11
30,30,43,59.88769251,1571.547,46.4420392,9317.781,2,4,1.678389965,3115.594,1538.36,"2009 04 16,04:10:05","2009 04 16,03:06:43",10
31,31,43,60.1589354,1578.484,57.969017,9136.687,2,4,1.673794749,3146.547,1545.094,"2009 04 16,10:41:20","2009 04 16,10:13:36",9
32,32,43,60.04748236,1574.469,57.53334462,9163.844,2,4,1.668789893,3080.234,1529.938,"2009 04 16,13:42:26","2009 04 16,13:14:46",8
33,33,43,60.16786337,1568.281,57.57611502,9143.156,2,4,1.649256631,3056,1523.594,"2009 04 16,16:43:53","2009 04 16,16:16:19",7
34,34,43,60.09738415,1561.422,57.54097099,9074.094,2,4,1.640967676,3051.625,1516.313,"2009 04 16,19:44:53","2009 04 16,19:17:26",6
35,35,43,60.02940148,1554.234,46.44353111,9387.891,2,4,1.645636023,3012.36,1509.187,"2009 04 16,23:20:24","2009 04 16,22:17:17",5
36,36,43,60.33090148,1573.734,57.73281802,9124.89,2,4,1.654547744,3100.687,1528.578,"2009 04 17,10:13:13","2009 04 17,09:45:34",4
37,37,43,59.88870263,1566.578,57.01246621,9101.484,2,4,1.646120152,3028.547,1510.094,"2009 04 17,13:14:01","2009 04 17,12:46:29",3
38,38,43,60.13011666,1550.047,57.52335618,9133.031,2,4,1.627511919,3024.891,1504.593,"2009 04 17,16:14:10","2009 04 17,15:46:53",2
39,39,43,60.2052814,1543.64,57.59252884,9029.031,2,4,1.620053053,2996.109,1497.906,"2009 04 17,19:14:44","2009 04 17,18:47:33",1
40,40,43,60.2449466,1536.781,46.46093657,9287.938,2,4,1.612079812,2959,1490.969,"2009 04 17,22:49:14","2009 04 17,21:46:23",0
